cell_type,segment,percent_immune
T.CD8.memory,Stroma,0.13112667093170677
NK,Stroma,0.028979983157812795
pDCs,Stroma,0.005945990698163738
mDCs,Stroma,0.002504570523636049
monocytes.C,Stroma,0.0
monocytes.NC.I,Stroma,0.03847142677982837
neutrophils,Stroma,0.136939653381768
Treg,Stroma,0.0
endothelial.cells,Stroma,0.031270450101703685
fibroblasts,Stroma,0.12536567309253555
macrophages,Tumor,0.11587305450799133
mast,Tumor,0.0008667067688662848
B.naive,Tumor,0.056687419107347106
B.memory,Tumor,0.0
plasma,Tumor,0.030813105620860714
T.CD4.naive,Tumor,0.0
T.CD4.memory,Tumor,0.0
T.CD8.naive,Tumor,0.2672660221088753
T.CD8.memory,Tumor,0.03699892279782046
NK,Tumor,0.06169857071199175
pDCs,Tumor,0.00535115776656269
mDCs,Tumor,0.0031905848366323986
monocytes.C,Tumor,0.0
monocytes.NC.I,Tumor,0.0
neutrophils,Tumor,0.22008924320742676
Treg,Tumor,0.02929778622314183
endothelial.cells,Tumor,0.08391339733425719
fibroblasts,Tumor,0.08795402900822623
macrophages,Stroma,0.19770995263238728
mast,Stroma,0.001067078022708393
B.naive,Stroma,0.0516740349167614
B.memory,Stroma,0.12465861163552054
plasma,Stroma,0.02958655074620649
T.CD4.naive,Stroma,0.0
T.CD4.memory,Stroma,0.17285325683835456
T.CD8.naive,Stroma,0.03035251711983581
T.CD8.memory,Stroma,0.13737103394174244
NK,Stroma,0.016516670150836268
pDCs,Stroma,0.0032122490838638225
mDCs,Stroma,0.017812056944947776
monocytes.C,Stroma,7.306595603103632e-08
monocytes.NC.I,Stroma,0.015369456465379456
neutrophils,Stroma,0.020829154762236252
Treg,Stroma,0.05542617906157709
endothelial.cells,Stroma,0.04722661206495137
fibroblasts,Stroma,0.07833451254673496
macrophages,Tumor,0.06786359413158241
mast,Tumor,0.0038255151185543723
B.naive,Tumor,0.10425705599613723
B.memory,Tumor,0.0
plasma,Tumor,0.01983933163823632
T.CD4.naive,Tumor,0.0
T.CD4.memory,Tumor,0.0
T.CD8.naive,Tumor,0.3345064205121988
T.CD8.memory,Tumor,0.007812668972798472
NK,Tumor,0.033418346947611796
pDCs,Tumor,0.004590319473080196
mDCs,Tumor,0.00913305613716925
monocytes.C,Tumor,0.0
monocytes.NC.I,Tumor,0.0
neutrophils,Tumor,0.19230097739752428
Treg,Tumor,0.0
endothelial.cells,Tumor,0.12999119121355027
fibroblasts,Tumor,0.09246152246155669
macrophages,Stroma,0.08837916373059564
mast,Stroma,0.0007648416441145563
B.naive,Stroma,0.4015010229752264
B.memory,Stroma,0.16941101792964872
plasma,Stroma,0.029297273302545185
T.CD4.naive,Stroma,0.0
T.CD4.memory,Stroma,0.08446199164400703
T.CD8.naive,Stroma,0.019186871373487006
T.CD8.memory,Stroma,0.03237000258197496
NK,Stroma,0.009878652699520915
pDCs,Stroma,0.003986711453747056
mDCs,Stroma,0.006489002642058514
monocytes.C,Stroma,0.0
monocytes.NC.I,Stroma,0.009319950289026428
neutrophils,Stroma,0.006545356999089045
Treg,Stroma,0.014790901578999243
endothelial.cells,Stroma,0.06218999588621703
fibroblasts,Stroma,0.06142724326974237
macrophages,Tumor,0.19074765836153548
mast,Tumor,0.0009831826076009465
B.naive,Tumor,0.055353469311523795
B.memory,Tumor,0.0
plasma,Tumor,0.01346016348395041
T.CD4.naive,Tumor,0.0
T.CD4.memory,Tumor,0.011475250705301062
T.CD8.naive,Tumor,0.14420264927555215
T.CD8.memory,Tumor,0.11599894904969957
NK,Tumor,0.024228450511633783
pDCs,Tumor,0.00774637026244113
mDCs,Tumor,0.00955289302033993
monocytes.C,Tumor,0.0
monocytes.NC.I,Tumor,0.0
neutrophils,Tumor,0.1946146877769966
Treg,Tumor,0.008312405317372859
endothelial.cells,Tumor,0.10879578273415422
fibroblasts,Tumor,0.11452808758189806
macrophages,Stroma,0.2166675291170446
mast,Stroma,0.00020183388303514322
B.naive,Stroma,0.13366710610671115
B.memory,Stroma,0.1563901600307331
plasma,Stroma,0.01796257353993743
T.CD4.naive,Stroma,0.044252594935950164
T.CD4.memory,Stroma,0.16219197014408898
T.CD8.naive,Stroma,0.0
T.CD8.memory,Stroma,0.08080269665805953
NK,Stroma,0.01037895620459464
pDCs,Stroma,0.008387318979416641
mDCs,Stroma,0.005123751827849818
monocytes.C,Stroma,0.011770497185248302
monocytes.NC.I,Stroma,0.0069095130008730524
neutrophils,Stroma,0.011191307227125923
Treg,Stroma,0.029609653331751296
endothelial.cells,Stroma,0.04088121630773574
fibroblasts,Stroma,0.06361132151984455
macrophages,Tumor,0.13199161787261168
mast,Tumor,0.002453356248378958
B.naive,Tumor,0.015305664229344063
B.memory,Tumor,0.0
plasma,Tumor,0.019524230989236186
T.CD4.naive,Tumor,0.0
T.CD4.memory,Tumor,0.0
T.CD8.naive,Tumor,0.21639694864552472
T.CD8.memory,Tumor,0.09963154228703057
NK,Tumor,0.061938461622283024
pDCs,Tumor,0.004578283710835548
mDCs,Tumor,0.012184218695618912
monocytes.C,Tumor,0.0
monocytes.NC.I,Tumor,0.0
neutrophils,Tumor,0.17455945896318237
Treg,Tumor,0.0
endothelial.cells,Tumor,0.15278023486754608
fibroblasts,Tumor,0.10865598186840796
macrophages,Stroma,0.281468978239797
mast,Stroma,0.0
B.naive,Stroma,0.021494232462662213
B.memory,Stroma,0.0
plasma,Stroma,0.031438972688906316
T.CD4.naive,Stroma,0.0
T.CD4.memory,Stroma,0.08205389536275708
T.CD8.naive,Stroma,0.0
T.CD8.memory,Stroma,0.28851912394879764
NK,Stroma,0.03632795417066524
pDCs,Stroma,0.00859122528002831
mDCs,Stroma,0.006880796130034289
monocytes.C,Stroma,0.034339830591573355
monocytes.NC.I,Stroma,0.01868119034059156
neutrophils,Stroma,0.005994016931618304
Treg,Stroma,0.01213515246782264
endothelial.cells,Stroma,0.05953911128410168
fibroblasts,Stroma,0.1125355201006445
macrophages,Tumor,0.13765136871000533
mast,Tumor,0.001851756381363499
B.naive,Tumor,0.0226550584624423
B.memory,Tumor,0.0
plasma,Tumor,0.015610323732217754
T.CD4.naive,Tumor,0.0
T.CD4.memory,Tumor,0.06011358000168883
T.CD8.naive,Tumor,0.20906847519672783
T.CD8.memory,Tumor,0.1475501767365102
NK,Tumor,0.01340049760360973
pDCs,Tumor,0.018164511394793203
mDCs,Tumor,0.002813516296811543
monocytes.C,Tumor,0.0
monocytes.NC.I,Tumor,0.0
neutrophils,Tumor,0.1747340383489895
Treg,Tumor,0.0
endothelial.cells,Tumor,0.11092143367037662
fibroblasts,Tumor,0.0854652634644637
macrophages,Stroma,0.21265071067010005
mast,Stroma,0.0010277362153182814
B.naive,Stroma,0.07016236781385124
B.memory,Stroma,0.01125780304710901
plasma,Stroma,0.06143418279704179
T.CD4.naive,Stroma,0.0
T.CD4.memory,Stroma,0.12063233972427527
T.CD8.naive,Stroma,0.0
T.CD8.memory,Stroma,0.22376177520787094
NK,Stroma,0.015996783148406853
pDCs,Stroma,0.008698724383864705
mDCs,Stroma,0.010167957790203797
monocytes.C,Stroma,0.00898868250216375
monocytes.NC.I,Stroma,0.016301867858691973
neutrophils,Stroma,0.014165072807491609
Treg,Stroma,0.058898838779858104
endothelial.cells,Stroma,0.06489578754856652
fibroblasts,Stroma,0.10095936970518617
macrophages,Tumor,0.06142610169417545
mast,Tumor,0.001953309236245737
B.naive,Tumor,0.0
B.memory,Tumor,0.0
plasma,Tumor,0.011635788891808859
T.CD4.naive,Tumor,0.0
T.CD4.memory,Tumor,0.0
T.CD8.naive,Tumor,0.3121771860010633
T.CD8.memory,Tumor,0.038173501057179635
